LON,LAT,EDO,CLAVE,ESTACION,may-23
-102.71,21.85,AGS,CALVILLO,"Calvillo SMN, Ags.",7.02
-102.68,22.00,AGS,CDRAG,"La Codorniz, Ags.",24.20
-102.36,22.12,AGS,JCQAG,"Jocoque, Ags.",7.21
-102.79,21.81,AGS,MNLAG,"Media Luna, Ags.",9.20
-102.37,21.78,AGS,NGRAG,"El Ni·gara, Ags.",2.50
-102.47,22.19,AGS,P50ANIV,"Presa Cincuenta Aniversario SMN, Ags.",11.00
-102.42,22.14,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",14.00
-102.44,22.24,AGS,PTRAG,"Derivadora PabellÛn, Ags.",16.30
-116.20,32.27,BC,AGHBN,"Agua Hechicera, B.C.",0.00
-116.91,32.44,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",3.20
-116.70,32.48,BC,CRRBN,"El Carrizo, B.C.",1.00
-116.83,32.47,BC,EFLBN,"El Florido, B.C.",2.01
-116.60,31.89,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",2.71
-115.93,30.52,BC,ENBBN,"San QuintÌn, B.C.",0.00
-115.15,32.41,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.00
-116.30,32.52,BC,HNGBN,"El Hongo, B.C.",0.00
-114.73,32.71,BC,JMRBN,"InterconexiÛn JosÈ Maria Morelos y PavÛn, B.C.",0.00
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.00
-116.91,32.45,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez 2 SMN, B.C.",1.60
-114.73,32.70,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.00
-117.07,32.38,BC,PLAYAROSARITO,"Playa Rosarito SMN, B.C.",0.20
-116.60,31.89,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora SMN, B.C.",5.00
-116.68,32.54,BC,PRTBN,"La Puerta, B.C.",4.40
-116.21,32.27,BC,RUMOROSA,La Rumorosa SMN B.C.,0.25
-114.85,31.03,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.00
-115.94,30.53,BC,SQNBN,"San QuintÌn SMN, B.C.",0.00
-116.66,32.57,BC,TECATE,"Tecate SMN, B.C.",1.40
-111.66,25.01,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.01
-109.93,22.90,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.00
-113.46,27.64,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.00
-114.05,27.96,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.00
-109.70,23.68,BCS,LBABS,"Los Barriles, B.C.S.",0.00
-110.37,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.00
-111.35,26.01,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",5.95
-111.98,26.90,BCS,MLGBS,"MulegÈ, B.C.S.",0.00
-111.83,24.48,BCS,PCORTESmar,"Puerto CortÈs SEMAR, B.C.S.",0.00
-109.93,23.97,BCS,PLNBS,"Los Planes, B.C.S.",0.00
-109.59,23.59,BCS,RBRBS,"La Ribera, B.C.S.",0.01
-110.06,23.81,BCS,SANBS,"San Antonio, B.C.S.",0.00
-110.00,24.08,BCS,SARBS,"El Sargento, B.C.S.",0.00
-109.84,23.74,BCS,SBABS,"San Bartolo, B.C.S.",0.00
-109.71,23.12,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0.00
-110.00,23.56,BCS,SLAGUNA,"Sierra La Laguna SMN, B.C.S.",1.20
-109.71,23.49,BCS,SNTBS,"Santiago, B.C.S.",0.00
-112.27,27.34,BCS,SRLBS,"Santa RosalÌa, B.C.S.",0.00
-110.21,23.48,BCS,TSNBS,"Todos Santos, B.C.S.",0.00
-89.74,20.00,CAMP,BOLCA,"BolonchÈn, Camp.",13.20
-90.58,19.30,CAMP,CANCA,"Canasayab, Camp.",6.00
-91.76,18.65,CAMP,CARCA,"El Carmen, Camp.",56.50
-90.72,19.36,CAMP,CHMCA,"ChampotÛn, Camp.",23.01
-90.54,19.84,CAMP,CMPCA,"Campeche, Camp.",85.00
-91.05,18.18,CAMP,CNDCA,"Candelaria, Camp.",134.41
-90.51,19.84,CAMP,COBCA,"Observatorio de Campeche, Camp.",68.50
-90.74,18.60,CAMP,ESCCA,"Esc·rcega, Camp.",53.10
-90.11,20.18,CAMP,HECCA,"Hecelchak·n, Camp.",131.00
-89.85,19.75,CAMP,HPOCA,"HopelchÈn, Camp.",30.00
-90.82,18.06,CAMP,MONCLOVACAMP,"Monclova SMN, Camp.",89.00
-90.22,19.61,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",46.70
-92.09,18.25,CAMP,PLZCA,"Palizada, Camp.",94.50
-91.18,18.97,CAMP,SBNCA,"Sabancuy, Camp.",17.00
-89.86,19.66,CAMP,XCPCA,"Xcupil, Camp.",11.50
-89.40,18.50,CAMP,XPJCA,"Xpujil, Camp.",73.50
-99.21,19.22,CDMX,AJSDF,"Ajusco, Cd. de MÈx.",121.92
-99.19,19.21,CDMX,AJUSCO,"Ajusco UNAM, Cd. de MÈx.",119.31
-99.17,19.24,CDMX,AMC,"Academia Mexicana de Ciencias UNAM, Cd. de MÈx.",68.88
-99.10,19.42,CDMX,BALBUENA,"Balbuena UNAM, Cd. de MÈx.",51.27
-99.12,19.47,CDMX,BONDOJITO,"Bondojito UNAM, Cd. de MÈx.",74.52
-99.28,19.44,CDMX,BOSQUEREAL,"Bosque Real UNAM, MÈx.",65.55
-99.17,19.45,CDMX,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN SMN, Cd. de MÈx.",30.89
-99.06,19.38,CDMX,CCHOTE,"CCH Oriente UNAM, Cd. de MÈx.",44.77
-99.14,19.48,CDMX,CCHVALLEJO,"CCH Vallejo UNAM, Cd. de MÈx.",61.64
-99.18,19.35,CDMX,CCUDF,"Universidad, Cd. de MÈx.",77.72
-99.00,19.36,CDMX,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",21.83
-99.11,19.41,CDMX,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",0.00
