LON,LAT,EDO,CLAVE,ESTACION,mar-22
-96.411111,19.261389,VER,LOFVC,"Loma Fina, Ver.",0.0
-94.916667,17.416667,VER,LPEVC,"Las Perlas, Ver.",4.0
-97.1,19.65,VER,LVRVC,"Las Vigas de RamÌrez, Ver.",23.6
-97.048333,20.0675,VER,MDTVC,"MartÌnez de la Torre, Ver.",54.6
-96.333333,19.15,VER,MFAVC,"Manlio Fabio Altamirano, Ver.",1.0
-98.045,20.8325,VER,MILVC,"Milcahual, Ver.",2.8
-94.771111,18.135278,VER,MNZVC,"Minzapan, Ver.",5.9
-96.833333,19.933333,VER,MZNVC,"Misantla, Ver.",57.0
-96.872222,19.65,VER,NAOVC,"Naolinco, Ver.",34.0
-98.5125,21.840278,VER,OLVVC,"El Olivo, Ver.",1.2
-97.1,18.85,VER,ORIZABAob,"Observatorio de Orizaba, Ver. SMN*",15.2
-97.1,18.85,VER,ORZVC,"Observatorio de Orizaba, Ver.",12.7
-96.97,19.55,VER,OTIVC,"Otilpan, Ver.",42.8
-96.918056,19.48,VER,PAVVC,"Pacho Viejo, Ver.",32.6
-94.3775,18.103611,VER,PB3VC,"Planta de Bombeo 3 de La Cangrejera, Ver.",23.0
-97.814444,21.184444,VER,PEMVC,"El Moralillo, Ver.",3.5
-97.268333,19.545,VER,PEROTESMN,"Perote, Ver. SMN*",19.3
-97.238889,19.580556,VER,PERVC,"Perote, Ver.",12.9
-96.979722,19.588611,VER,PILVC,"Piletas, Ver.",68.5
-98.176667,22.06,VER,PNCVC,"P·nuco, Ver.",2.2
-97.475,20.543333,VER,POZARICA,"Poza Rica, Ver. SGT*",11.8
-97.316667,20.45,VER,PPNVC,"Papantla, Ver.",20.6
-97.478333,20.540833,VER,PRCVC,"Poza Rica, Ver.",14.5
-98.356667,21.297778,VER,PSNVC,"PlatÛn S·nchez, Ver.",5.0
-96.665,19.043333,VER,PTE4CAMINOS,"Puente Cuatro Caminos, Ver. SGT*",11.3
-96.704444,18.821944,VER,PTEAUTOPISTA,"Puente de la Autopista, Ver. SGT*",51.7
