LON,LAT,EDO,CLAVE,ESTACION,jul-22,,
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",165.00,,
-89.848333,19.751944,CAMP,HPOCA,"HopelchÈn, Camp.",80.40,,
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",157.36,,
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",114.70,,
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",87.00,,
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",394.00,,
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",50.70,,
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",57.00,,
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",222.65,,
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",122.00,,
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",123.50,,
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del RÌo, Chih. SGT*",148.75,,
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",152.83,,
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",123.00,,
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",165.00,,
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",131.50,,
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",135.53,,
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",74.32,,
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",93.21,,
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",68.98,,
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju·rez, Chih. SMN*",4.60,,
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",19.06,,
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",113.49,,
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",31.80,,
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",194.20,,
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",45.73,,
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",23.10,,
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",42.50,,
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",42.50,,
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",141.80,,
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",194.22,,
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",156.35,,
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",45.73,,
-105.628889,28.166111,CHIH,FIMCH,"Las VÌrgenes, Chih.",26.56,,
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",120.99,,
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",162.95,,
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",124.00,,
-107.879167,26.870833,CHIH,INGCH,"San Ignacio, Chih.",124.00,,
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",60.39,,
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",17.03,,
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",86.70,,
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",41.52,,
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",39.34,,
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",114.96,,
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",20.00,,
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",40.08,,
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",13.00,,
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",23.80,,
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",139.45,,
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",46.02,,
