LON,LAT,EDO,CLAVE,ESTACION,nov-22
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",129
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",2
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",5
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",0
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",0
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0.02
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.01
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",1.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.01
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0.01
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",2
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",0
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0.01
-105.628889,28.166111,CHIH,FIMCH,"Las VÌrgenes, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-107.879167,26.870833,CHIH,INGCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0.01
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",4.8
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",3.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0.01
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",2.21
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.61
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",0.02
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.02
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",1.01
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",42.7
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",79
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",55.1
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.8
-92.874722,17.188889,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",107.1
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",559.3
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",29.9
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",70.5
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",47.3
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",89.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",105.2
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",17
