LON,LAT,EDO,CLAVE,ESTACION,oct-22
-99.995556,17.947778,GRO,ECAGR,"Ing. Carlos RamÌrez Ulloa, Gro.",132.7
-99.516667,17.233333,GRO,EOCGR,"El Ocotito, Gro.",132.8
-99.332778,18.3025,GRO,HTZGR,"Huitzuco, Gro.",87.1
-99.55,18.349722,GRO,IGLGR,"Iguala, Gro.",126.2
-99.524167,18.360278,GRO,IGUALA,"Iguala, Gro. SMN*",99.86
-99.783333,16.966667,GRO,K21GR,"km 21, Gro.",156
-99.369167,17.471111,GRO,MCHGR,"Mochitl·n, Gro.",150.5
-99.799722,16.8,GRO,ODAGR,"Observatorio de Acapulco, Gro.",80.2
-99.5,17.6,GRO,ODZGR,"Observatorio de Zumpango, Gro.",53.4
-98.735,17.777222,GRO,OLNGR,"Olinal·, Gro.",57
-98.888333,18.020833,GRO,PAPALUTLACFE,"Papalutla, Gro. CFE*",75.4
-99.45,17.483333,GRO,PETGR,"Petaquillas, Gro.",80.5
-99.591667,17.938889,GRO,PUENTEMEZCALCFE,"Puente Mezcal, Gro. CFE*",81.8
-98.500556,16.655833,GRO,QTZGR,"Quetzala, Gro.",259.7
-99.166111,16.823611,GRO,RMEGR,"RevoluciÛn Mexicana, Gro.",114
-100.478611,18.171944,GRO,SCRISTOBALCFE,"San CristÛbal, Gro. CFE*",73.8
-100.472778,17.139444,GRO,SJEGR,"San JerÛnimo, Gro.",122.9
-99.516944,17.920833,GRO,SJTETELCINGOCFE,"San Juan Tetelcingo, Gro. CFE*",62.81
-99.482778,16.796389,GRO,SNMGR,"San Marcos, Gro.",184
-99.605278,18.554444,GRO,TAXGR,"Taxco, Gro.",35.1
-99.976389,17.789722,GRO,TLAGR,"Tlacotepec, Gro.",78.7
-98.6,17.5,GRO,TLPGR,"Tlapa, Gro.",43.1
-99.399444,17.568056,GRO,TXTGR,"Tixtla, Gro.",74.5
-100.265833,18.382778,GRO,VGRGR,"Vicente Guerrero, Gro.",57.5
-99.466111,18.295833,GRO,VTRGR,"Valerio Trujano, Gro.",83.6
-98.488333,17.903889,GRO,XXHGR,"Xochihuehuetl·n, Gro.",76.5
-99.933333,17.603333,GRO,YXTGR,"Yextla, Gro.",47.8
-101.548889,17.645278,GRO,ZHTGR,"Zihuatanejo, Gro.",94.6
-101.554167,17.645,GRO,ZIHUATANEJO,"Zihuatanejo, Gro. SMN*",94.18
-101.536667,20.446944,GTO,ABSGJ,"Abasolo, Gto.",83.81
-100.712222,20.0325,GTO,ACNGJ,"Ac·mbaro, Gto.",74.05
-100.683333,20.533333,GTO,AEGGJ,"Apaseo el Grande, Gto.",22.41
-100.5825,20.553889,GTO,AMCGJ,"Ameche, Gto.",65.51
-100.620833,20.454167,GTO,APSGJ,"Apaseo el Alto, Gto.",34
-101.625556,20.499167,GTO,ATBGJ,"Agua Tibia, Gto.",35.02
-101.838333,21.048611,GTO,BRRGJ,"El Barrial, Gto.",16.83
-100.816667,20.536389,GTO,CLYGJ,"Celaya, Gto.",20
-101.474722,21.068056,GTO,COMGJ,"Comanjilla, Gto.",37
-100.363333,20.198333,GTO,CORGJ,"Coroneo, Gto.",18.2
-101.666667,20.616667,GTO,CRMGJ,"Cuer·maro, Gto.",26.5
-100.962778,20.487778,GTO,CRTGJ,"Cort·zar, Gto.",24.6
-100.9,20.95,GTO,CSRGJ,"Cinco SeÒores, Gto.",31.71
-101.6675,21.195556,GTO,CSTGJ,"Los Castillos, Gto.",34.42
-100.933333,21.15,GTO,DHGGJ,"Dolores Hidalgo, Gto.",30.02
-101.835278,21.05,GTO,EBAGJ,"El Barrial, Gto.",3.33
-100.9,20.279722,GTO,ECBGJ,"El Cubo, Gto.",57
-101.244444,20.872222,GTO,ECHGJ,"El ChapÌn, Gto.",33.53
-101.37,20.715833,GTO,ECNGJ,"El Conejo, Gto.",61.4
-101.678889,21.173611,GTO,EPLGJ,"El Palote, Gto.",36.3
-101.996667,20.800556,GTO,FRIAS,"FrÌas, Gto. ProtecciÛn Civil*",32.26
-101.7425,20.439167,GTO,GLNGJ,"La Golondrina, Gto.",40.01
-101.266111,21.014167,GTO,GTOGJ,"Observatorio de Guanajuato, Gto.",50.2
-100.825833,20.848056,GTO,IALGJ,"Ignacio Allende, Gto.",35.01
-101.35,20.683333,GTO,IRPGJ,"Irapuato, Gto.",52.01
-101.844167,20.675278,GTO,LADGJ,"Las Adjuntas, Gto.",60.2
-101.073056,20.286944,GTO,LDYGJ,"Laguna de Yuriria, Gto.",19.02
-101.693333,21.136389,GTO,LENGJ,"LeÛn, Gto.",30.02
-100.883611,20.398333,GTO,LGVGJ,"Presa la Gavia, Gto.",43
-101.358889,20.276111,GTO,LJIGJ,"Las JÌcamas, Gto.",10
-101.107778,21.324167,GTO,LQMGJ,"La Quemada, Gto.",43
-101.931111,20.507222,GTO,MABGJ,"Mariano Abasolo, Gto.",45.9
-100.501944,21.223611,GTO,MINERALPOZOS,"Mineral de Pozos, Gto. ProtecciÛn Civil*",34.12
-101.48,21.65,GTO,OCMGJ,"Ocampo, Gto.",32
-101.111389,20.5225,GTO,PERGJ,"Pericos, Gto.",26.9
-100.496111,21.22,GTO,POZGJ,"Pozos, Gto.",41.36
-101.287778,20.867222,GTO,PRSGJ,"La PurÌsima, Gto.",27.12
-101.216667,21.483333,GTO,SFEGJ,"San Felipe, Gto.",43.5
-101.016667,20.4,GTO,SJLGJ,"Santa Julia, Gto.",27.3
-101.199444,20.565833,GTO,SLMGJ,"Salamanca, Gto.",43.43
-100.516667,21.3,GTO,SLPGJ,"San Luis de la Paz, Gto.",2.5
-100.669722,20.055278,GTO,SLSGJ,"SolÌs, Gto.",94.03
-100.885833,20.216667,GTO,SLVGJ,"Salvatierra, Gto.",54.72
-101.016389,20.430833,GTO,SMAGJ,"San Miguel de Allende, Gto.",47.11
-100.745833,20.577778,GTO,SMOGJ,"San Miguel Octopan, Gto.",9.7
-101.066944,20.298333,GTO,SRTGJ,"Santa Rita, Gto.",17.42
-101.3,20.6,GTO,TEMGJ,"TemascatÌo, Gto.",44
-101.178889,20.382778,GTO,VDSGJ,"Valle de Santiago, Gto.",29
-100.0925,21.298889,GTO,XICGJ,"Xich˙, Gto.",15.72
-98.941667,20.268056,HGO,ACTHD,"Actopan, Hgo.",5
-98.348056,21.019444,HGO,ATCHD,"Atlapexco, Hgo.",189.5
-99.36,20.163889,HGO,ENDHD,"EndhÛ, Hgo.",28
-98.076111,20.46,HGO,HHTHD,"Huehuetla, Hgo.",85.9
-98.416667,21.15,HGO,HJTHD,"Huejutla, Hgo.",99.8
-99.220833,20.481944,HGO,IXMHD,"Ixmiquilpan, Hgo.",8.65
-98.128333,20.135833,HGO,LAGUNA,"La Laguna, Hgo. FENIX*",78.6
-98.128333,20.135556,HGO,LLAHD,"La Laguna, Hgo.",72.7
-99.218611,20.2375,HGO,MXQHD,"Mixquiahuala, Hgo.",7.01
-98.6,21.166667,HGO,ORZHD,"San Felipe Orizatl·n, Hgo.",126.11
-98.7475,20.123333,HGO,PACHUCAob,"Observatorio de Pachuca, Hgo. SMN*",2.6
-98.7475,20.123333,HGO,PCOHD,"Observatorio de Pachuca, Hgo.",3.32
-98.334722,20.0575,HGO,PERHD,"La Esperanza, Hgo.",15.4
-99.329444,20.359722,HGO,PRGHD,"Javier Rojo GÛmez, Hgo.",5.03
-99.310833,19.963056,HGO,PRQHD,"Requena, Hgo.",50.03
-99.375833,20.435556,HGO,PVAHD,"Vicente Aguirre, Hgo.",19.04
-98.369444,20.083333,HGO,TLGHD,"Observatorio de Tulancingo, Hgo.",12.81
-98.647222,20.652778,HGO,ZXTHD,"Zacualtip·n, Hgo.",153
-103.133333,20.316667,JAL,ACHAPALAGDL,"Acueducto Chapala Guadalajara, Jal. SGT*",50
-103.228611,22.325833,JAL,ACHZC,"Achimec, Jal.",32.64
-102.436944,21.599444,JAL,AJJJL,"Ajoj˙car, Jal.",47.53
-103.091944,20.397222,JAL,ATQJL,"Atequiza, Jal.",46.02
-103.446389,20.746667,JAL,BAZJL,"Base AÈrea Zapopan, Jal.",28.61
-104.061111,19.913611,JAL,BBAJL,"Basilio Vadillo, Jal.",60.5
-103.724444,22.406111,JAL,BCSJL,"Bocas, Jal.",24.91
-103.782778,21.831667,JAL,BLNJL,"BolaÒos, Jal.",12.4
-103.464722,19.730556,JAL,CDGUZMANob,"Observatorio de Ciudad Guzm·n, Jal. SMN*",10
-103.465278,19.697778,JAL,CGZJL,"Observatorio de Ciudad Guzm·n, Jal.",38.6
-104.555278,19.627778,JAL,CHFJL,"El ChiflÛn, Jal.",213.94
-102.774167,19.287778,JAL,CHLMC,"ConstituciÛn de Apatzing·n, Jal.",13.4
-104.566667,19.233333,JAL,CIHJL,"Cihuatl·n, Jal.",244.6
-105.129722,19.9975,JAL,CPEJL,"CajÛn de PeÒa, Jal.",100.5
-104.780833,20.479722,JAL,CRNJL,"Corrinchis, Jal.",165.27
-101.7375,21.497778,JAL,CRTJL,"El Cuarenta, Jal.",51.71
-105.218333,20.593333,JAL,CULJL,"Cuale, Jal.",259.54
-103.45,21.066667,JAL,CXTJL,"Cuixtla, Jal.",65.8
-102.976111,20.681389,JAL,EGCJL,"Ing. ElÌas Gonz·lez Ch·vez, Jal.",32.51
-103.3925,20.706667,JAL,GUADALAJARAob,"Observatorio de Guadalajara , Jal. SMN*",139.4
-103.354444,20.680556,JAL,GUAJL,"Guadalajara Centro, Jal.",74.21
