LON,LAT,EDO,CLAVE,ESTACION,sep-22
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",6.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",88
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",37.1
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",37.4
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",53.2
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",56.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",21
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",61.7
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",41.6
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",65
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",51
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",63.7
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",52.8
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",61
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",53.7
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",52.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",17.8
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",18.8
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.2
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",18.6
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",12.5
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",6.5
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",28.1
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",63.6
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de Ejido Nuevo LeÛn, B.C. SMN*",68.2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",70
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",9.1
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",13.2
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",35.4
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",5
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",6.5
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",13
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",5.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",18
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",10
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",88.2
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",95.1
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",35.2
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",22.6
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",4.8
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",90.7
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",100.8
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",326
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",101.2
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",227.5
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",349
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",273.5
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",156.6
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",179.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",227.5
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",366.8
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",106
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",166.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",192.9
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",387.2
-112.25,27.283333,BCS,STAROSALIAob,"Observatorio de Santa RosalÌa, B.C.S. SMN*",280
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",90.5
-89.743889,20.003889,CAMP,BOLCA,"BolonchÈn, Camp.",178.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",227
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",300
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",171.1
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",191.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",325
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",269
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",283.3
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",180.6
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",255.7
-89.848333,19.751944,CAMP,HPOCA,"HopelchÈn, Camp.",115.9
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",124
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",230.1
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",356
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",360
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",105.3
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",98.5
-90.310833,19.013611,CAMP,YOHALTUM,"Yohalt˙n, Camp. SMN*",145.3
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",71.9
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",55.5
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del RÌo, Chih. SGT*",75.5
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",93
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",102
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",41
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",50.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",23.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",49.1
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",36.8
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",102.4
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",24.5
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",89.2
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",147.5
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",39.3
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",20.8
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",55
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",55
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",108.5
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",85.1
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",144.4
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",36.9
-105.628889,28.166111,CHIH,FIMCH,"Las VÌrgenes, Chih.",44
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",70.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",62.3
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",65
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",38
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",29
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",22
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",19.5
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",94.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",15
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",106.9
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",12.8
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",174.9
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",36.9
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",182.9
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",49.1
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",140.4
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",149
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",31
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",96
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",357
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",292.8
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",354.2
