LON,LAT,EDO,CLAVE,ESTACION,dic-22
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",2.53
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",5.14
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",55.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",2.53
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",89.99
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",48.79
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",36
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.4
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",2.47
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",13.19
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",34.39
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",3.76
